nomDuMusee;adr;cp;ville;telephone1;region;departement;coordonneesFinales
Musée Pincé;32 bis rue Lenepveu;49100;ANGERS;0241053800;PAYS DE LA LOIRE;MAINE-ET-LOIRE;47.471767,-0.551841
Musée Vivarois César Filhol;15, Rue Jean-Baptiste Béchetoille;07100;ANNONAY;0475676793;AUVERGNE-RHÔNE-ALPES;ARDECHE;45.240803,4.668129
Musée du Jouet;5, Rue du Murgin;39260;MOIRANS-EN-MONTAGNE;0384423864;BOURGOGNE-FRANCHE-COMTE;JURA;46.433004,5.726307
Musée d'Art et d'Archéologie;Palais Jean de Bourbon Parc Abbatial - B.P. 10022;71250;CLUNY;0385591279;BOURGOGNE-FRANCHE-COMTE;SAONE ET LOIRE;46.4606602983,4.62757728392
Ecomusée de Marie-Galante;Habitation Murat;97112;GRAND-BOURG de MARIE-GALANTE;0590974868;GUADELOUPE;GUADELOUPE;15.87039,-61.269045
Musée Saint-Rémi;53, rue Simon;51100;REIMS;0326353690;GRAND EST;MARNE;49.243111,4.040351
Musée de la Vénerie;Place du Parvis Notre Dame;60300;SENLIS;0344294993;HAUTS-DE-France;OISE;49.207042,2.585316
Musée Maritime de l'Ile de Tatihou;Ile Tatihou B.P. 3;50550;SAINT-VAAST-LA-HOUGUE;0233543333;NORMANDIE;MANCHE;49.5998454115,-1.27309328299
Musée Le Secq des Tournelles;2, rue Jacques Villon;76000;ROUEN;0235884292;NORMANDIE;SEINE-MARITIME;49.445299,1.093596
Musée du Charroi Rural et de l'Artisanat Traditionnel;Ancienne Eglise Saint-Firmin;12120;SALMIECH;0565742355;OCCITANIE;AVEYRON;44.1738899788,2.54748951823
Musée de la Loire;Place de la Résistance;58200;COSNE-SUR-LOIRE;0386267102;BOURGOGNE-FRANCHE-COMTE;NIÈVRE;47.410594,2.922716
Ecomusée de la Bresse Bourguignonne;Château départemental;71270;PIERRE-DE-BRESSE;0385762716;BOURGOGNE-FRANCHE-COMTE;SAONE ET LOIRE;46.88301,5.262064
Musée Auguste Grasset;Place de la Mairie;58210;VARZY;0386297203;BOURGOGNE-FRANCHE-COMTE;NIÈVRE;47.357453,3.386077
Muséum de Besançon;La Citadelle Rue des Fusillés de la Résistance;25000;BESANCON;0381878305;BOURGOGNE-FRANCHE-COMTE;DOUBS;47.2552328934,6.01938051129
Musée du Château de Dinan;Rue du Château;22100;DINAN;0296394520;BRETAGNE;COTES D'ARMOR;48.450306,-2.043857
Musée de Grenoble;5 Place de Lavalette;38000;GRENOBLE;0476634444;AUVERGNE-RHÔNE-ALPES;ISERE;45.194026,5.732094
Musée de la Mine - Carreau Wendel;Parc Explor Wendel;57540;PETITE-ROSSELLE;0387870854;GRAND EST;MOSELLE;49.203306,6.862692
Musée Diocésain d'Art Sacré;Service de la conservation du patrimoine culturel 11, Rue du Grand Séminaire - CS 80149;59403;CAMBRAI Cedex;0327813496;HAUTS-DE-France;NORD;
Musée du Château de Flers;Avenue du Château CS 70229;61104;FLERS cedex;0233646649;NORMANDIE;ORNE;
Château-Musée;;49400;SAUMUR;0241402440;PAYS DE LA LOIRE;MAINE-ET-LOIRE;47.258651,-0.079223
Musée Archéologique Théo Desplans;Hôtel de Ville Cours Taulignan;84110;VAISON-LA-ROMAINE;0490365005;PROVENCE-ALPES-CÔTE D'AZUR;VAUCLUSE;44.2444427122,5.0525358539
Musée-château d'Annecy;Place du Château;74000;ANNECY;0450338730;AUVERGNE-RHÔNE-ALPES;HAUTE-SAVOIE;45.897323,6.125044
Musée du Rhône;14, Place Auguste Faure;07300;TOURNON-SUR-RHÔNE;0475081030;AUVERGNE-RHÔNE-ALPES;ARDECHE;45.067885,4.831823
Musée Franco-Américain du Château de Blérancourt;Château;02300;BLERANCOURT;0323391471;HAUTS-DE-France;AISNE;49.516035,3.150459
Musée du Président Jacques Chirac;;19800;SARRAN;0555217777;NOUVELLE-AQUITAINE;CORREZE;45.409888,1.937619
Musée du Bugey-Valmorey;Maison Renaissance;01260;LOCHIEU;0479875223;AUVERGNE-RHÔNE-ALPES;AIN;45.9506630232,5.68746147482
Musée Saint-Vic;Cours Manuel;18200;SAINT-AMAND-MONTROND;0248965520;CENTRE-VAL DE LOIRE;CHER;46.720868,2.506689
Musée du Château de Montaigu;167 rue Lucien Galtier;54410;LANEUVEVILLE-DEVANT-NANCY;0383531696;GRAND EST;MEURTHE ET MOSELLE;48.665792,6.215554
Musée de Nogent-Sur-Marne;36, Boulevard Gallieni;94130;NOGENT-SUR-MARNE;0148755125;ÎLE-DE-France;VAL DE MARNE;48.84026,2.484292
Musée Richard Anacréon;Place de l'Ithsme  La Haute Ville;50400;GRANVILLE;0233510294;NORMANDIE;MANCHE;48.8338992843,-1.53304864714
Musée d'Art et d'Archéologie du Périgord (MAAP);22, Cours Tourny;24000;PERIGUEUX;0553064070;NOUVELLE-AQUITAINE;DORDOGNE;45.186039,0.72395
Musée Napoléonien et Africain;Rue Napoléon;17123;ILE D'AIX;0546846640;NOUVELLE-AQUITAINE;CHARENTE-MARITIME;46.012165,-1.174931
Musée des Beaux-Arts Denys Puech;Place Georges Clemenceau;12000;RODEZ;0565778960;OCCITANIE;AVEYRON;44.349183,2.578108
Musée de Tautavel;Avenue Léon-Jean Grégory;66720;TAUTAVEL;0468290776;OCCITANIE;PYRENEES ORIENTALES;42.813782,2.747999
Ecomusée de Saint-Nazaire;Avenue de Saint-Hubert;44613;SAINT-NAZAIRE;0251101206;PAYS DE LA LOIRE;LOIRE-ATLANTIQUE;
Musée de la Faïence;Château Pastré  157, Avenue de Montredon;13008;MARSEILLE;0491724347;PROVENCE-ALPES-CÔTE D'AZUR;BOUCHES DU RHONE;43.2388428582,5.37571442554
Musée d'Art Moderne et d'Art Contemporain;Promenade des Arts;06300;NICE;0493626162;PROVENCE-ALPES-CÔTE D'AZUR;ALPES-MARITIMES;43.7122279855,7.23752896461
